BROOKLYN,longer than 1 month,NONCONST
BRONX,less than 1 day,Street Condition
BRONX,longer than 1 month,PAINT - PLASTER
BROOKLYN,less than 10 days,General Construction/Plumbing
BROOKLYN,less than 10 days,NONCONST
BROOKLYN,less than 10 days,HEATING
NEW YORK,less than 10 days,Noise
FLUSHING,less than 10 days,Street Condition
JAMAICA,less than 1 day,Street Condition
SOUTH OZONE PARK,less than 5 days,Street Condition
BROOKLYN,longer than 1 month,GENERAL CONSTRUCTION
BROOKLYN,less than 5 days,ELECTRIC
NEW YORK,less than 10 days,PLUMBING
BROOKLYN,longer than 1 month,GENERAL CONSTRUCTION
NEW YORK,less than 5 days,PAINT - PLASTER
BRONX,less than 1 month,GENERAL CONSTRUCTION
BRONX,less than 10 days,PAINT - PLASTER
BRONX,less than 20 days,General Construction/Plumbing
BRONX,less than 1 month,NONCONST
NEW YORK,less than 5 days,HEATING
BRONX,less than 5 days,Dirty Conditions
JAMAICA,less than 1 day,Traffic Signal Condition
STATEN ISLAND,less than 1 day,Sanitation Condition
BROOKLYN,less than 10 days,Boilers
STATEN ISLAND,less than 10 days,Water System
NEW YORK,less than 10 days,HEATING
BRONX,less than 1 day,General Construction/Plumbing
NEW YORK,less than 20 days,GENERAL CONSTRUCTION
REGO PARK,less than 10 days,HEATING
BRONX,less than 10 days,GENERAL CONSTRUCTION
ASTORIA,less than 5 days,Dirty Conditions
BRONX,less than 20 days,PAINT - PLASTER
BROOKLYN,longer than 1 month,GENERAL CONSTRUCTION
BROOKLYN,longer than 1 month,Sewer
SOUTH RICHMOND HILL,longer than 1 month,PAINT - PLASTER
BRONX,less than 1 day,General Construction/Plumbing
BROOKLYN,less than 5 days,General Construction/Plumbing
NEW YORK,less than 5 days,PLUMBING
BRONX,less than 5 days,HEATING
NEW YORK,less than 20 days,GENERAL CONSTRUCTION
NEW YORK,less than 20 days,PLUMBING
BROOKLYN,less than 5 days,HEATING
NEW YORK,less than 1 day,Traffic Signal Condition
BROOKLYN,less than 5 days,HEATING
ARVERNE,less than 1 day,Sewer
BROOKLYN,longer than 1 month,Vacant Lot
STATEN ISLAND,less than 5 days,Plumbing
NEW YORK,less than 5 days,HEATING
BRONX,longer than 1 month,ELECTRIC
JAMAICA,less than 5 days,HEATING
JACKSON HEIGHTS,less than 1 day,Street Condition
BRONX,less than 1 month,ELECTRIC
STATEN ISLAND,less than 10 days,Sewer
BRONX,less than 10 days,HEATING
OZONE PARK,less than 1 day,Sanitation Condition
NEW YORK,less than 1 month,GENERAL CONSTRUCTION
SOUTH OZONE PARK,less than 5 days,ELECTRIC
SOUTH RICHMOND HILL,less than 1 day,Street Condition
BROOKLYN,longer than 1 month,PAINT - PLASTER
NEW YORK,less than 20 days,APPLIANCE
BROOKLYN,less than 5 days,HEATING
BROOKLYN,less than 20 days,Building/Use
STATEN ISLAND,less than 1 day,Missed Collection (All Materials)
SOUTH OZONE PARK,less than 1 day,Missed Collection (All Materials)
BROOKLYN,longer than 1 month,APPLIANCE
STATEN ISLAND,less than 1 day,Missed Collection (All Materials)
BROOKLYN,less than 5 days,HEATING
ARVERNE,less than 10 days,HEATING
STATEN ISLAND,less than 1 day,Water System
FLUSHING,less than 5 days,HEATING
NEW YORK,longer than 1 month,GENERAL CONSTRUCTION
NEW YORK,less than 1 month,ELECTRIC
NEW YORK,less than 10 days,HEATING
STATEN ISLAND,less than 1 day,Dirty Conditions
ELMHURST,longer than 1 month,NONCONST
BROOKLYN,less than 10 days,HEATING
NEW YORK,longer than 1 month,General Construction/Plumbing
BROOKLYN,less than 1 day,Traffic Signal Condition
BROOKLYN,less than 5 days,NONCONST
BRONX,less than 1 day,Street Condition
BROOKLYN,longer than 1 month,NONCONST
STATEN ISLAND,less than 1 day,General Construction/Plumbing
NEW YORK,less than 5 days,Noise
BROOKLYN,less than 5 days,HEATING
BROOKLYN,less than 20 days,NONCONST
BROOKLYN,longer than 1 month,PAINT - PLASTER
BRONX,less than 1 day,Street Condition
NEW YORK,less than 5 days,HEATING
BRONX,less than 20 days,HEATING
BROOKLYN,longer than 1 month,ELECTRIC
MASPETH,less than 1 day,Water System
NEW YORK,less than 10 days,HEATING
LITTLE NECK,less than 20 days,Sewer
BRONX,less than 5 days,HEATING
BRONX,less than 20 days,GENERAL CONSTRUCTION
BRONX,less than 20 days,Sewer
NEW YORK,less than 5 days,Noise
BRONX,less than 20 days,NONCONST
NEW YORK,less than 20 days,HEATING
FLUSHING,less than 20 days,Water System
BRONX,longer than 1 month,PAINT - PLASTER
STATEN ISLAND,less than 5 days,HEATING
NEW YORK,less than 10 days,HEATING
FAR ROCKAWAY,longer than 1 month,General Construction/Plumbing
NEW YORK,less than 1 month,PLUMBING
BRONX,less than 20 days,NONCONST
BRONX,less than 5 days,HEATING
BRONX,less than 1 month,General Construction/Plumbing
BROOKLYN,less than 10 days,Street Condition
JAMAICA,less than 20 days,Vacant Lot
NEW YORK,longer than 1 month,PAINT - PLASTER
NEW YORK,less than 5 days,GENERAL CONSTRUCTION
SUNNYSIDE,less than 5 days,Dirty Conditions
BRONX,less than 1 day,HEATING
BRONX,less than 1 day,Street Condition
BROOKLYN,less than 5 days,Sewer
NEW YORK,less than 1 day,General Construction/Plumbing
ROSEDALE,less than 20 days,Building/Use
NEW YORK,less than 20 days,Building/Use
BRONX,less than 10 days,NONCONST
EAST ELMHURST,less than 10 days,HEATING
BRONX,longer than 1 month,PLUMBING
BRONX,longer than 1 month,PAINT - PLASTER
ELMHURST,longer than 1 month,PLUMBING
NEW YORK,less than 20 days,Sewer
BROOKLYN,less than 20 days,PLUMBING
BRONX,less than 1 month,GENERAL CONSTRUCTION
NEW YORK,less than 20 days,GENERAL CONSTRUCTION
BROOKLYN,longer than 1 month,GENERAL CONSTRUCTION
STATEN ISLAND,less than 20 days,Street Condition
BROOKLYN,less than 10 days,HEATING
STATEN ISLAND,less than 20 days,Dirty Conditions
BRONX,less than 1 day,Street Condition
GLEN OAKS,less than 1 day,Derelict Vehicles
FRESH MEADOWS,less than 5 days,Missed Collection (All Materials)
BRONX,less than 1 day,Sanitation Condition
NEW YORK,less than 20 days,PLUMBING
NEW YORK,less than 5 days,HEATING
BROOKLYN,less than 1 day,General Construction/Plumbing
BROOKLYN,less than 5 days,Missed Collection (All Materials)
BROOKLYN,less than 5 days,HEATING
BROOKLYN,less than 1 day,HEATING
BROOKLYN,less than 1 day,HEATING
SOUTH OZONE PARK,less than 10 days,HEATING
STATEN ISLAND,less than 10 days,Street Condition
BROOKLYN,less than 20 days,PLUMBING
NEW YORK,less than 10 days,HEATING
BRONX,less than 1 day,HEATING
STATEN ISLAND,less than 1 day,Traffic Signal Condition
FAR ROCKAWAY,longer than 1 month,NONCONST
BROOKLYN,less than 5 days,HEATING
BRONX,less than 10 days,GENERAL CONSTRUCTION
BRONX,less than 1 month,APPLIANCE
BRONX,less than 1 month,GENERAL CONSTRUCTION
BROOKLYN,less than 1 day,HEATING
STATEN ISLAND,less than 1 day,Missed Collection (All Materials)
FOREST HILLS,less than 1 day,Sewer
BROOKLYN,less than 1 day,Traffic Signal Condition
BRONX,less than 5 days,Dirty Conditions
NEW YORK,longer than 1 month,Electrical
NEW YORK,less than 20 days,PLUMBING
BRONX,less than 1 day,Street Condition
BRONX,less than 20 days,General Construction/Plumbing
BROOKLYN,less than 10 days,PAINT - PLASTER
BROOKLYN,longer than 1 month,GENERAL CONSTRUCTION
BROOKLYN,less than 10 days,HEATING
BROOKLYN,less than 5 days,HEATING
JAMAICA,less than 1 day,Street Condition
FLUSHING,less than 20 days,Noise
ELMHURST,less than 20 days,HEATING
BROOKLYN,less than 1 day,Sanitation Condition
BROOKLYN,less than 1 day,Sewer
BROOKLYN,less than 20 days,PAINT - PLASTER
BROOKLYN,less than 1 month,PLUMBING
STATEN ISLAND,less than 1 day,HEATING
BRONX,less than 10 days,HEATING
STATEN ISLAND,less than 5 days,Street Condition
BROOKLYN,less than 1 day,Sanitation Condition
NEW YORK,less than 1 day,Asbestos
BROOKLYN,longer than 1 month,Building/Use
STATEN ISLAND,less than 10 days,Street Condition
NEW YORK,longer than 1 month,General Construction/Plumbing
BROOKLYN,less than 5 days,HEATING
BRONX,longer than 1 month,NONCONST
BRONX,less than 1 day,Dirty Conditions
LONG ISLAND CITY,longer than 1 month,Traffic Signal Condition
BROOKLYN,less than 10 days,HEATING
BROOKLYN,less than 1 day,Sewer
NEW YORK,less than 10 days,PAINT - PLASTER
SOUTH RICHMOND HILL,less than 5 days,Sanitation Condition
NEW YORK,less than 1 day,Street Condition
BROOKLYN,less than 1 day,Traffic Signal Condition
QUEENS VILLAGE,less than 5 days,General Construction/Plumbing
NEW YORK,less than 10 days,HEATING
BRONX,longer than 1 month,PAINT - PLASTER
LONG ISLAND CITY,less than 1 day,Missed Collection (All Materials)
QUEENS VILLAGE,less than 1 day,General Construction/Plumbing
NEW YORK,less than 10 days,HEATING
BROOKLYN,less than 1 day,PLUMBING
SOUTH OZONE PARK,less than 5 days,HEATING
BROOKLYN,less than 1 month,NONCONST
STATEN ISLAND,less than 5 days,Water System
BROOKLYN,less than 20 days,Electrical
BROOKLYN,longer than 1 month,GENERAL CONSTRUCTION
BROOKLYN,less than 1 month,GENERAL CONSTRUCTION
BROOKLYN,less than 1 month,PLUMBING
BROOKLYN,less than 5 days,HEATING
STATEN ISLAND,less than 1 day,Missed Collection (All Materials)
BROOKLYN,less than 10 days,GENERAL CONSTRUCTION
BROOKLYN,longer than 1 month,APPLIANCE
BRONX,less than 20 days,PAINT - PLASTER
BROOKLYN,longer than 1 month,GENERAL CONSTRUCTION
STATEN ISLAND,less than 1 day,Sewer
STATEN ISLAND,less than 10 days,Recycling Enforcement
FLUSHING,less than 5 days,General Construction/Plumbing
NEW YORK,less than 1 month,GENERAL CONSTRUCTION
BROOKLYN,less than 1 day,HEATING
NEW YORK,less than 10 days,Noise
NEW YORK,less than 1 day,General Construction/Plumbing
BROOKLYN,less than 10 days,Dirty Conditions
WOODSIDE,less than 1 day,General Construction/Plumbing
BROOKLYN,less than 5 days,PLUMBING
FOREST HILLS,less than 1 day,Dirty Conditions
BROOKLYN,less than 1 day,Missed Collection (All Materials)
BRONX,less than 20 days,Noise
FOREST HILLS,less than 5 days,Electrical
BRONX,less than 10 days,HEATING
ELMHURST,less than 20 days,HEATING
STATEN ISLAND,less than 5 days,HEATING
BROOKLYN,longer than 1 month,GENERAL CONSTRUCTION
BROOKLYN,less than 5 days,HEATING
FLUSHING,less than 10 days,HEATING
BROOKLYN,less than 10 days,PAINT - PLASTER
BROOKLYN,less than 1 month,ELECTRIC
BRONX,less than 10 days,HEATING
NEW YORK,less than 10 days,HEATING
NEW YORK,less than 5 days,HEATING
CORONA,less than 10 days,PLUMBING
FLUSHING,less than 1 day,Other Enforcement
OZONE PARK,less than 1 day,Street Condition
BROOKLYN,less than 5 days,HEATING
BROOKLYN,less than 1 day,Missed Collection (All Materials)
NEW YORK,less than 1 day,Noise
BROOKLYN,longer than 1 month,ELECTRIC
SUNNYSIDE,less than 1 day,Traffic Signal Condition
BROOKLYN,less than 5 days,Street Condition
FLUSHING,less than 1 day,General Construction/Plumbing
BRONX,less than 1 month,APPLIANCE
BRONX,less than 1 day,Street Condition
NEW YORK,longer than 1 month,Water System
JAMAICA,less than 10 days,General Construction/Plumbing
BRONX,less than 10 days,NONCONST
NEW YORK,less than 1 day,Asbestos
NEW YORK,less than 20 days,PLUMBING
WHITESTONE,less than 20 days,Sewer
OAKLAND GARDENS,longer than 1 month,Building/Use
BROOKLYN,less than 5 days,HEATING
BRONX,less than 1 day,HEATING
BAYSIDE,less than 10 days,Sewer
BRONX,longer than 1 month,GENERAL CONSTRUCTION
NEW YORK,less than 5 days,HEATING
BROOKLYN,less than 20 days,PLUMBING
NEW YORK,less than 1 month,GENERAL CONSTRUCTION
BRONX,longer than 1 month,PAINT - PLASTER
NEW YORK,less than 5 days,Noise
BRONX,less than 10 days,PAINT - PLASTER
QUEENS VILLAGE,less than 1 day,General Construction/Plumbing
BRONX,less than 1 month,GENERAL CONSTRUCTION
BROOKLYN,less than 1 day,Missed Collection (All Materials)
BROOKLYN,longer than 1 month,GENERAL CONSTRUCTION
BROOKLYN,less than 1 month,GENERAL CONSTRUCTION
BROOKLYN,less than 20 days,PAINT - PLASTER
STATEN ISLAND,less than 10 days,Street Condition
BROOKLYN,less than 20 days,GENERAL CONSTRUCTION
NEW YORK,less than 1 day,HEATING
BRONX,less than 20 days,GENERAL CONSTRUCTION
BROOKLYN,less than 20 days,PLUMBING
BROOKLYN,less than 5 days,NONCONST
BROOKLYN,less than 5 days,Sewer
SAINT ALBANS,less than 20 days,Sewer
NEW YORK,less than 5 days,Air Quality
BRONX,less than 10 days,HEATING
BRONX,less than 1 day,Missed Collection (All Materials)
NEW YORK,less than 1 day,Water System
OZONE PARK,longer than 1 month,Noise
NEW YORK,less than 20 days,GENERAL CONSTRUCTION
NEW YORK,less than 1 month,PLUMBING
BROOKLYN,less than 5 days,Missed Collection (All Materials)
BRONX,less than 1 day,Street Condition
BROOKLYN,less than 20 days,PAINT - PLASTER
BROOKLYN,less than 10 days,HEATING
BROOKLYN,less than 1 day,Sanitation Condition
BROOKLYN,less than 5 days,HEATING
SAINT ALBANS,less than 5 days,Sewer
ELMHURST,longer than 1 month,GENERAL CONSTRUCTION
BROOKLYN,longer than 1 month,NONCONST
BRONX,less than 1 month,GENERAL CONSTRUCTION
QUEENS VILLAGE,less than 1 day,Sewer
NEW YORK,less than 20 days,PLUMBING
BROOKLYN,longer than 1 month,PAINT - PLASTER
BRONX,less than 20 days,General Construction/Plumbing
BROOKLYN,less than 5 days,HEATING
WOODSIDE,less than 5 days,Sewer
NEW YORK,less than 1 month,General Construction/Plumbing
STATEN ISLAND,less than 1 day,Sewer
BRONX,less than 5 days,Lead
BRONX,less than 10 days,PAINT - PLASTER
STATEN ISLAND,less than 1 day,Vacant Lot
BROOKLYN,longer than 1 month,Water Quality
NEW YORK,less than 10 days,HEATING
BROOKLYN,less than 5 days,HEATING
BROOKLYN,longer than 1 month,PAINT - PLASTER
ROCKAWAY PARK,less than 10 days,NONCONST
BROOKLYN,less than 20 days,PLUMBING
JACKSON HEIGHTS,less than 1 day,General Construction/Plumbing
FLUSHING,less than 5 days,HEATING
BRONX,less than 10 days,HEATING
OAKLAND GARDENS,less than 1 day,Street Condition
BRONX,longer than 1 month,HEATING
QUEENS VILLAGE,less than 1 day,Sewer
BRONX,longer than 1 month,General Construction/Plumbing
BRONX,less than 1 month,PAINT - PLASTER
BROOKLYN,less than 10 days,HEATING
BROOKLYN,less than 5 days,HEATING
BROOKLYN,less than 10 days,HEATING
NEW YORK,longer than 1 month,NONCONST
LONG ISLAND CITY,less than 1 day,Missed Collection (All Materials)
WOODSIDE,less than 10 days,Sewer
NEW YORK,less than 10 days,HEATING
STATEN ISLAND,less than 10 days,Street Condition
NEW YORK,less than 1 day,Dirty Conditions
NEW YORK,less than 10 days,HEATING
FAR ROCKAWAY,less than 10 days,HEATING
WHITESTONE,less than 5 days,Sewer
BAYSIDE,less than 1 day,Derelict Vehicles
BROOKLYN,less than 10 days,GENERAL CONSTRUCTION
BROOKLYN,longer than 1 month,ELECTRIC
BROOKLYN,less than 5 days,Water System
NEW YORK,less than 10 days,PAINT - PLASTER
NEW YORK,less than 20 days,NONCONST
NEW YORK,less than 10 days,GENERAL CONSTRUCTION
BRONX,less than 5 days,Noise
BROOKLYN,less than 20 days,Sewer
NEW YORK,less than 5 days,HEATING
BROOKLYN,less than 10 days,HEATING
NEW HYDE PARK,less than 1 day,Overflowing Litter Baskets
BROOKLYN,longer than 1 month,NONCONST
BROOKLYN,less than 20 days,GENERAL CONSTRUCTION
BRONX,less than 10 days,HEATING
BROOKLYN,less than 20 days,ELECTRIC
BRONX,less than 5 days,HEATING
BROOKLYN,less than 20 days,PLUMBING
NEW YORK,less than 1 day,Industrial Waste
BRONX,less than 1 day,Missed Collection (All Materials)
NEW YORK,less than 1 day,Noise
BROOKLYN,less than 20 days,PLUMBING
BRONX,less than 20 days,Building/Use
BRONX,less than 10 days,HEATING
BROOKLYN,less than 10 days,GENERAL CONSTRUCTION
BRONX,less than 1 day,HEATING
BROOKLYN,less than 20 days,Street Condition
BROOKLYN,longer than 1 month,PAINT - PLASTER
STATEN ISLAND,less than 1 month,Water Quality
NEW YORK,longer than 1 month,PLUMBING
RICHMOND HILL,less than 1 day,Water System
BRONX,less than 10 days,PAINT - PLASTER
BROOKLYN,less than 10 days,HEATING
WOODSIDE,less than 1 day,Sanitation Condition
NEW YORK,less than 20 days,Noise
NEW YORK,less than 20 days,Noise
NEW YORK,less than 10 days,Sewer
STATEN ISLAND,less than 1 day,Water System
BROOKLYN,less than 10 days,HEATING
OZONE PARK,less than 5 days,PAINT - PLASTER
BROOKLYN,longer than 1 month,General Construction/Plumbing
NEW YORK,less than 1 day,BEST/Site Safety
NEW YORK,less than 10 days,Emergency Response Team (ERT)
BRONX,less than 20 days,ELECTRIC
ARVERNE,less than 1 day,Sewer
BROOKLYN,longer than 1 month,GENERAL CONSTRUCTION
BROOKLYN,less than 1 day,Missed Collection (All Materials)
BROOKLYN,less than 1 day,HEATING
NEW YORK,less than 5 days,NONCONST
BRONX,less than 20 days,PAINT - PLASTER
BRONX,less than 5 days,HEATING
ELMHURST,longer than 1 month,GENERAL CONSTRUCTION
LONG ISLAND CITY,less than 5 days,PLUMBING
NEW YORK,less than 5 days,GENERAL CONSTRUCTION
BROOKLYN,less than 1 day,Missed Collection (All Materials)
BRONX,less than 5 days,HEATING
BROOKLYN,less than 5 days,HEATING
BRONX,less than 1 month,GENERAL CONSTRUCTION
BRONX,less than 10 days,ELECTRIC
NEW YORK,less than 10 days,PAINT - PLASTER
JAMAICA,less than 1 day,Water System
FLUSHING,less than 20 days,General Construction/Plumbing
BROOKLYN,less than 1 day,General Construction/Plumbing
BRONX,less than 10 days,HEATING
BROOKLYN,less than 1 day,General Construction/Plumbing
NEW YORK,less than 20 days,GENERAL CONSTRUCTION
NEW YORK,less than 1 month,General Construction/Plumbing
BROOKLYN,less than 5 days,HEATING
BRONX,less than 1 day,Street Condition
BROOKLYN,less than 5 days,Dirty Conditions
CORONA,less than 5 days,Building/Use
BROOKLYN,less than 10 days,HEATING
BROOKLYN,longer than 1 month,NONCONST
NEW YORK,less than 5 days,PLUMBING
BROOKLYN,less than 20 days,PLUMBING
BAYSIDE,less than 1 month,Electrical
RICHMOND HILL,less than 1 day,Street Condition
BRONX,less than 20 days,GENERAL CONSTRUCTION
NEW YORK,less than 1 day,Noise
BROOKLYN,longer than 1 month,PAINT - PLASTER
BRONX,longer than 1 month,GENERAL CONSTRUCTION
BRONX,less than 5 days,NONCONST
BROOKLYN,less than 1 day,Sanitation Condition
BROOKLYN,longer than 1 month,PAINT - PLASTER
QUEENS VILLAGE,longer than 1 month,Building/Use
BROOKLYN,less than 5 days,Noise
BRONX,less than 1 day,Missed Collection (All Materials)
BRONX,less than 1 month,GENERAL CONSTRUCTION
NEW YORK,less than 5 days,PAINT - PLASTER
NEW YORK,less than 1 day,General Construction/Plumbing
NEW YORK,less than 5 days,HEATING
BRONX,less than 5 days,Sewer
BRONX,less than 10 days,HEATING
BRONX,less than 5 days,HEATING
BRONX,less than 20 days,GENERAL CONSTRUCTION
JAMAICA,less than 5 days,Sewer
BROOKLYN,less than 5 days,HEATING
STATEN ISLAND,less than 1 day,Water System
BROOKLYN,less than 10 days,HEATING
BRONX,less than 10 days,HEATING
BROOKLYN,longer than 1 month,PAINT - PLASTER
